Ma_Don_Hang,Ngay_Dat_Hang,DanhMuc,So_Luong,Don_Gia,Trang_Thai,Thanh_Pho,Doanh_Thu,Thang,Thang_Nam
DH447,2025-01-01,Điện tử,1,2376000,Hoàn thành,Hà Nội,2376000,1,2025-01
DH678,2025-01-01,Thời trang,5,4282000,Hoàn thành,Đà Nẵng,21410000,1,2025-01
DH756,2025-01-01,Thời trang,9,1466000,Hoàn thành,TP.HCM,13194000,1,2025-01
DH649,2025-01-01,Thời trang,3,583000,Hoàn thành,Hà Nội,1749000,1,2025-01
DH207,2025-01-02,Gia dụng,10,2776000,Hoàn thành,Đà Nẵng,27760000,1,2025-01
DH064,2025-01-02,Điện tử,10,1844000,Hoàn thành,TP.HCM,18440000,1,2025-01
DH264,2025-01-02,Thời trang,4,2893000,Đang giao,Đà Nẵng,11572000,1,2025-01
DH326,2025-01-04,Thời trang,8,2570000,Hoàn thành,Cần Thơ,20560000,1,2025-01
DH497,2025-01-04,Điện tử,2,3212000,Đang giao,TP.HCM,6424000,1,2025-01
DH129,2025-01-05,Thời trang,5,1665000,Hoàn thành,TP.HCM,8325000,1,2025-01
DH416,2025-01-05,Thời trang,9,1835000,Đang giao,Hà Nội,16515000,1,2025-01
DH335,2025-01-06,Sách,4,79000,Hoàn thành,Đà Nẵng,316000,1,2025-01
DH606,2025-01-07,Sách,6,421000,Hoàn thành,Cần Thơ,2526000,1,2025-01
DH688,2025-01-08,Thời trang,10,2996000,Hoàn thành,TP.HCM,29960000,1,2025-01
DH270,2025-01-09,Sách,6,4068000,Hoàn thành,Hà Nội,24408000,1,2025-01
DH602,2025-01-09,Thời trang,9,874000,Hoàn thành,Đà Nẵng,7866000,1,2025-01
DH715,2025-01-10,Thời trang,9,2942000,Hoàn thành,Đà Nẵng,26478000,1,2025-01
DH485,2025-01-10,Gia dụng,10,4999000,Hoàn thành,Đà Nẵng,49990000,1,2025-01
DH519,2025-01-12,Sách,5,1649000,Hoàn thành,TP.HCM,8245000,1,2025-01
DH152,2025-01-13,Sách,6,477000,Hoàn thành,Đà Nẵng,2862000,1,2025-01
DH555,2025-01-13,Sách,2,2217000,Hoàn thành,TP.HCM,4434000,1,2025-01
DH051,2025-01-14,Gia dụng,6,4636000,Đang giao,Cần Thơ,27816000,1,2025-01
DH676,2025-01-14,Thời trang,2,4844000,Hoàn thành,Đà Nẵng,9688000,1,2025-01
DH135,2025-01-15,Sách,9,4945000,Hoàn thành,Đà Nẵng,44505000,1,2025-01
DH093,2025-01-15,Điện tử,7,3838000,Hoàn thành,TP.HCM,26866000,1,2025-01
DH498,2025-01-16,Điện tử,7,4084000,Hoàn thành,Hà Nội,28588000,1,2025-01
DH330,2025-01-17,Điện tử,3,2403000,Hoàn thành,Đà Nẵng,7209000,1,2025-01
DH353,2025-01-18,Thời trang,5,2907000,Hoàn thành,Cần Thơ,14535000,1,2025-01
DH567,2025-01-19,Thời trang,7,1628000,Hoàn thành,Đà Nẵng,11396000,1,2025-01
DH637,2025-01-19,Gia dụng,9,3490000,Hoàn thành,Đà Nẵng,31410000,1,2025-01
DH384,2025-01-20,Điện tử,7,1362000,Hoàn thành,Đà Nẵng,9534000,1,2025-01
DH672,2025-01-20,Gia dụng,4,2053000,Hoàn thành,Hà Nội,8212000,1,2025-01
DH007,2025-01-21,Thời trang,10,3815000,Hoàn thành,Hà Nội,38150000,1,2025-01
DH026,2025-01-22,Điện tử,10,3822000,Hoàn thành,Cần Thơ,38220000,1,2025-01
DH748,2025-01-23,Gia dụng,1,4735000,Hoàn thành,Đà Nẵng,4735000,1,2025-01
DH483,2025-01-23,Sách,4,2048000,Hoàn thành,Hà Nội,8192000,1,2025-01
DH376,2025-01-26,Gia dụng,2,2671000,Hoàn thành,Hà Nội,5342000,1,2025-01
DH317,2025-01-27,Sách,3,3281000,Hoàn thành,Đà Nẵng,9843000,1,2025-01
DH697,2025-01-28,Sách,10,1938000,Hoàn thành,Đà Nẵng,19380000,1,2025-01
DH165,2025-01-28,Gia dụng,5,4051000,Hoàn thành,TP.HCM,20255000,1,2025-01
DH150,2025-01-29,Điện tử,8,1677000,Hoàn thành,Hà Nội,13416000,1,2025-01
DH615,2025-01-29,Sách,2,3787000,Hoàn thành,Hà Nội,7574000,1,2025-01
DH115,2025-02-02,Thời trang,8,3731000,Hoàn thành,Đà Nẵng,29848000,2,2025-02
DH508,2025-02-02,Điện tử,8,2642000,Đang giao,Hà Nội,21136000,2,2025-02
DH306,2025-02-02,Sách,5,4927000,Hoàn thành,Cần Thơ,24635000,2,2025-02
DH762,2025-02-03,Điện tử,3,625000,Đang giao,Hà Nội,1875000,2,2025-02
DH709,2025-02-04,Thời trang,6,2612000,Hoàn thành,Đà Nẵng,15672000,2,2025-02
DH524,2025-02-04,Gia dụng,6,3548000,Hoàn thành,Đà Nẵng,21288000,2,2025-02
DH327,2025-02-04,Thời trang,2,1680000,Hoàn thành,Đà Nẵng,3360000,2,2025-02
DH059,2025-02-04,Điện tử,10,283000,Hoàn thành,Cần Thơ,2830000,2,2025-02
DH124,2025-02-04,Thời trang,3,1478000,Hoàn thành,Cần Thơ,4434000,2,2025-02
DH546,2025-02-05,Sách,5,1706000,Hoàn thành,Đà Nẵng,8530000,2,2025-02
DH382,2025-02-05,Điện tử,10,4055000,Hoàn thành,Hà Nội,40550000,2,2025-02
DH338,2025-02-06,Thời trang,1,845000,Đang giao,Đà Nẵng,845000,2,2025-02
DH268,2025-02-06,Gia dụng,4,3666000,Hoàn thành,TP.HCM,14664000,2,2025-02
DH311,2025-02-07,Điện tử,5,3945000,Hoàn thành,TP.HCM,19725000,2,2025-02
DH766,2025-02-08,Điện tử,9,1026000,Hoàn thành,Đà Nẵng,9234000,2,2025-02
DH586,2025-02-08,Sách,10,1324000,Hoàn thành,Cần Thơ,13240000,2,2025-02
DH477,2025-02-08,Điện tử,8,1464000,Hoàn thành,TP.HCM,11712000,2,2025-02
DH250,2025-02-08,Thời trang,9,3434000,Hoàn thành,Đà Nẵng,30906000,2,2025-02
DH638,2025-02-08,Sách,1,3928000,Hoàn thành,Hà Nội,3928000,2,2025-02
DH109,2025-02-10,Sách,3,1770000,Hoàn thành,TP.HCM,5310000,2,2025-02
DH700,2025-02-10,Thời trang,4,4011000,Hoàn thành,Đà Nẵng,16044000,2,2025-02
DH091,2025-02-10,Sách,7,3652000,Đang giao,Đà Nẵng,25564000,2,2025-02
DH137,2025-02-11,Gia dụng,4,2111000,Đang giao,Đà Nẵng,8444000,2,2025-02
DH589,2025-02-11,Thời trang,1,172000,Hoàn thành,TP.HCM,172000,2,2025-02
DH516,2025-02-12,Thời trang,10,2396000,Đang giao,Hà Nội,23960000,2,2025-02
DH071,2025-02-13,Sách,9,2093000,Hoàn thành,Hà Nội,18837000,2,2025-02
DH167,2025-02-13,Sách,6,644000,Hoàn thành,Đà Nẵng,3864000,2,2025-02
DH657,2025-02-13,Thời trang,9,4615000,Hoàn thành,Hà Nội,41535000,2,2025-02
